date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:51	38692/38692	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Dec%202017%2021:20:54%20GMT	https://www.pandaexpress.com/	J:/webpage/pandaexpress/www.pandaexpress.com/index.html	(from )
22:28:52	26/26	---M--	200	added ('OK')	text/plain	date:Tue,%2012%20Dec%202017%2021:28:48%20GMT	https://www.pandaexpress.com/robots.txt		(from )
22:28:53	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	J:/webpage/pandaexpress/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://www.pandaexpress.com/)
22:28:53	5259/5259	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2014:42:41%20GMT	http://cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/magnific-popup.min.css	J:/webpage/pandaexpress/cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/magnific-popup.min.css	(from https://www.pandaexpress.com/)
22:28:53	52789/52789	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202016%2014:39:58%20GMT	http://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	J:/webpage/pandaexpress/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from https://www.pandaexpress.com/)
22:28:54	224/224	---M--	302	error ('Redirect')	text/html	date:Tue,%2012%20Dec%202017%2021:28:50%20GMT	https://www.pandaexpress.com/Content/site/frontend-css?v=C4aOCUaSMq39OXjzRv53a9ugRzO49mZxUJhj4x5CCaA1	J:/webpage/pandaexpress/www.pandaexpress.com/Content/site/frontend-css2ac2	(from https://www.pandaexpress.com/)
22:28:55	226411/226411	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Dec%202017%2021:28:51%20GMT	https://www.pandaexpress.com/content/site/frontend-css?v=C4aOCUaSMq39OXjzRv53a9ugRzO49mZxUJhj4x5CCaA1	J:/webpage/pandaexpress/www.pandaexpress.com/content/site/frontend-css2ac2.css	(from https://www.pandaexpress.com/)
22:28:55	192675/192675	---M--	200	added ('OK')	image/jpeg	etag:%2251f44fddfbf4c8c0e95c9a2cd241443a%22	https://s3.amazonaws.com/PandaExpressWebsite/img/favorites/favorites-hdr-desk2.jpg	J:/webpage/pandaexpress/s3.amazonaws.com/PandaExpressWebsite/img/favorites/favorites-hdr-desk2.jpg	(from https://www.pandaexpress.com/)
22:28:56	43912/43912	---M--	200	added ('OK')	image/jpeg	etag:%22d5d4d80015447430a530653c751b6755%22	https://s3.amazonaws.com/PandaExpressWebsite/img/favorites/favorites-hdr-mob3.jpg	J:/webpage/pandaexpress/s3.amazonaws.com/PandaExpressWebsite/img/favorites/favorites-hdr-mob3.jpg	(from https://www.pandaexpress.com/)
22:28:57	118533/118533	---M--	200	added ('OK')	image/jpeg	etag:%2276f0bc9b9c94f8322fa47b507119b84a%22	https://s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/5FS-Header.jpg	J:/webpage/pandaexpress/s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/5FS-Header.jpg	(from https://www.pandaexpress.com/)
22:28:57	113937/113937	---M--	200	added ('OK')	image/jpeg	etag:%22ff3e42ca93485d4ad53689d26ab99d9f%22	https://s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/woksmart-home-desk.jpg	J:/webpage/pandaexpress/s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/woksmart-home-desk.jpg	(from https://www.pandaexpress.com/)
22:28:58	127266/127266	---M--	200	added ('OK')	image/jpeg	etag:%227cad12bff6443de15912c799d6254412%22	https://s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/Feature-Banner-Image.jpg	J:/webpage/pandaexpress/s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/Feature-Banner-Image.jpg	(from https://www.pandaexpress.com/)
22:28:59	190348/190348	---M--	200	added ('OK')	image/jpeg	etag:%2227ee1c9c80287793c44d51cab2ab2f5d%22	https://s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/5FS-Header-mob.jpg	J:/webpage/pandaexpress/s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/5FS-Header-mob.jpg	(from https://www.pandaexpress.com/)
22:28:59	99827/99827	---M--	200	added ('OK')	image/jpeg	etag:%229f84e1ba1fa07add5f540b8572aa6050%22	https://s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/woksmart-home-mob.jpg	J:/webpage/pandaexpress/s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/woksmart-home-mob.jpg	(from https://www.pandaexpress.com/)
22:29:00	125220/125220	---M--	200	added ('OK')	image/jpeg	etag:%228ab9c8ec229f56d99c11fc0d8049bc9d%22	https://s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/Feature-Banner-Image-mob.jpg	J:/webpage/pandaexpress/s3.amazonaws.com/PandaExpressWebsite/Responsive/img/lto/5fs/Feature-Banner-Image-mob.jpg	(from https://www.pandaexpress.com/)
22:29:00	186/186	---M--	302	error ('Redirect')	text/html	date:Tue,%2012%20Dec%202017%2021:28:57%20GMT	https://www.pandaexpress.com/Content/qaptcha/QapTcha.jquery.css	J:/webpage/pandaexpress/www.pandaexpress.com/Content/qaptcha/QapTcha.jquery.css	(from https://www.pandaexpress.com/)
22:29:00	42134/42134	---M--	200	added ('OK')	image/jpeg	etag:%22c59ca881ae676221d9782641ef179f34%22	https://s3.amazonaws.com/PandaExpressWebsite/img/rhcc.jpg	J:/webpage/pandaexpress/s3.amazonaws.com/PandaExpressWebsite/img/rhcc.jpg	(from https://www.pandaexpress.com/)
22:29:00	676/676	---M--	200	added ('OK')	text/css	etag:%2205b7a29cb7ad21:0%22	https://www.pandaexpress.com/content/qaptcha/qaptcha.jquery.css	J:/webpage/pandaexpress/www.pandaexpress.com/content/qaptcha/qaptcha.jquery.css	(from https://www.pandaexpress.com/)
